Node,Depth,Value
root,0,-Infinity
A2,1,Infinity
B2,2,Infinity
B3,2,-Infinity
A3,3,5
B3,2,5
A4,3,5
B3,2,5
A5,3,5
B3,2,5
A6,3,5
B3,2,5
B2,2,5
B4,2,-Infinity
A3,3,-Infinity
A2,3,-Infinity
A4,3,7
A2,3,7
A5,3,7
A2,3,7
A6,3,7
A2,3,7
A3,3,7
A4,3,6
A3,3,7
A5,3,5
A3,3,7
A6,3,6
A3,3,7
B4,2,7
A4,3,5
B4,2,7
A5,3,5
B4,2,7
A6,3,5
B4,2,7
B2,2,5
B5,2,-Infinity
A2,3,-Infinity
A3,3,-Infinity
A2,3,-Infinity
A4,3,8
A2,3,8
A5,3,8
A2,3,8
A6,3,8
A2,3,8
A3,3,8
A4,3,7
A3,3,8
A5,3,6
A3,3,8
A6,3,7
A3,3,8
A2,3,8
A4,3,6
A2,3,8
A5,3,6
A2,3,8
A6,3,6
A2,3,8
B5,2,8
A3,3,-Infinity
A2,3,6
A3,3,6
A4,3,6
A3,3,6
A5,3,5
A3,3,6
A6,3,6
A3,3,6
B5,2,8
A4,3,5
B5,2,8
A5,3,4
B5,2,8
A6,3,5
B5,2,8
B2,2,5
B6,2,-Infinity
A2,3,-Infinity
A3,3,-Infinity
A2,3,-Infinity
A4,3,8
A2,3,8
A5,3,9
A2,3,9
A6,3,8
A2,3,9
A3,3,9
A4,3,7
A3,3,9
A5,3,6
A3,3,9
A6,3,7
A3,3,9
A2,3,9
A4,3,6
A2,3,9
A5,3,7
A2,3,9
A6,3,6
A2,3,9
B6,2,9
A3,3,-Infinity
A2,3,6
A3,3,6
A4,3,6
A3,3,6
A5,3,5
A3,3,6
A6,3,6
A3,3,6
B6,2,9
A4,3,5
B6,2,9
A5,3,4
B6,2,9
A6,3,5
B6,2,9
B2,2,5
A2,1,5
B3,2,-Infinity
A3,3,11
B3,2,11
A4,3,6
B3,2,11
A5,3,11
B3,2,11
A6,3,6
B3,2,11
A2,1,5
B4,2,-Infinity
A3,3,11
B4,2,11
A4,3,6
B4,2,11
A5,3,11
B4,2,11
A6,3,6
B4,2,11
A2,1,5
B5,2,-Infinity
A3,3,-Infinity
A2,3,-Infinity
A4,3,8
A2,3,8
A5,3,13
A2,3,13
A6,3,8
A2,3,13
A3,3,13
A4,3,7
A3,3,13
A5,3,6
A3,3,13
A6,3,7
A3,3,13
B5,2,13
A4,3,6
B5,2,13
A5,3,11
B5,2,13
A6,3,6
B5,2,13
A2,1,5
B6,2,-Infinity
A2,3,-Infinity
A3,3,-Infinity
A2,3,-Infinity
A4,3,9
A2,3,9
A5,3,15
A2,3,15
A6,3,9
A2,3,15
A3,3,15
A4,3,8
A3,3,15
A5,3,7
A3,3,15
A6,3,8
A3,3,15
A2,3,15
A4,3,7
A2,3,15
A5,3,13
A2,3,15
A6,3,7
A2,3,15
B6,2,15
A3,3,-Infinity
A2,3,7
A3,3,7
A4,3,7
A3,3,7
A5,3,6
A3,3,7
A6,3,7
A3,3,7
B6,2,15
A4,3,6
B6,2,15
A5,3,5
B6,2,15
A6,3,6
B6,2,15
A2,1,5
root,0,5
A3,1,Infinity
B2,2,-Infinity
A2,3,6
B2,2,6
A4,3,6
B2,2,6
A5,3,12
B2,2,12
A6,3,-Infinity
A2,3,18
A6,3,18
A3,3,6
A6,3,18
A4,3,7
A6,3,18
A5,3,6
A6,3,18
B2,2,18
A3,1,18
B3,2,-Infinity
A2,3,5
B3,2,5
A4,3,5
B3,2,5
A5,3,5
B3,2,5
A6,3,5
B3,2,5
A3,1,5
B4,2,-Infinity
A2,3,5
B4,2,5
A4,3,5
B4,2,5
A5,3,4
B4,2,5
A6,3,5
B4,2,5
A3,1,5
B5,2,-Infinity
A2,3,5
B5,2,5
A4,3,5
B5,2,5
A5,3,4
B5,2,5
A6,3,5
B5,2,5
A3,1,5
B6,2,-Infinity
A2,3,5
B6,2,5
A3,3,4
B6,2,5
A4,3,5
B6,2,5
A5,3,4
B6,2,5
A6,3,5
B6,2,5
A3,1,5
root,0,5
A4,1,Infinity
B2,2,Infinity
B3,2,-Infinity
A2,3,5
B3,2,5
A3,3,-Infinity
A2,3,6
A3,3,6
A4,3,6
A3,3,6
A5,3,5
A3,3,6
A6,3,6
A3,3,6
B3,2,6
A4,3,4
B3,2,6
A5,3,4
B3,2,6
A6,3,5
B3,2,6
B2,2,6
B4,2,-Infinity
A2,3,5
B4,2,5
A3,3,-Infinity
A2,3,6
A3,3,6
A4,3,13
A3,3,13
A5,3,5
A3,3,13
A6,3,6
A3,3,13
B4,2,13
A4,3,4
B4,2,13
A5,3,4
B4,2,13
A6,3,5
B4,2,13
B2,2,6
B5,2,-Infinity
A2,3,5
B5,2,5
A3,3,5
B5,2,5
A4,3,4
B5,2,5
A5,3,4
B5,2,5
A6,3,5
B5,2,5
B2,2,5
B6,2,-Infinity
A2,3,5
B6,2,5
A3,3,5
B6,2,5
A4,3,4
B6,2,5
A5,3,4
B6,2,5
A6,3,5
B6,2,5
B2,2,5
A4,1,5
B3,2,-Infinity
A2,3,6
B3,2,6
A3,3,-Infinity
A2,3,7
A3,3,7
A5,3,6
A3,3,7
A6,3,7
